syllable,p_stressed,p_long
seits,0.6744354151259674,0.9052014469253619
zieg',0.6649093954521437,0.6649093954523552
kles,0.04939893462761762,0.3417356215848488
zo,0.15588848537824226,0.444827241189712
glät,0.937499479474055,0.9374994794743583
blum',0.6657781752903297,0.6663509422227923
grot,0.6666666666035221,0.6666666666035221
schaff',0.7999997989353017,0.7999997989353138
krum,0.8998978591952914,0.8998978602786759
flo,0.9736815501851339,0.9736815569932081
bir,0.9411756118385062,0.9411756128484857
beu,0.9756096617067325,0.9756096657518833
pla,0.7771116999620392,0.8882242512835883
händ',0.9564576881303843,0.956457688130766
ßers,0.05000001925532021,0.05000011231813748
stillt,0.899938143231293,0.899938143231293
flieh',0.6629172852040462,0.6629172852145906
flohn,0.8331910325046533,0.9743257432638175
raums,0.4985091069213804,0.7485089978422729
gold,0.9721480573368572,0.9722121832516791
jä,0.9574942456310502,0.9574942457123566
löw',0.81713603353248,0.9077752239817373
is',0.3333333333333333,0.3333333333333333
hab,0.9696939888402645,0.9696939910892081
öf,0.8748785055522809,0.8749973571726708
süß,0.4994908599153167,0.7489223860526144
litz,0.04174014009403493,0.3511523283140943
nickt',0.6666666666666666,0.6666666666666666
fällt,0.8331153539849813,0.9612954595837417
täf,0.75,0.75
bie,0.9898989753846733,0.9898989753898891
gyr,0.5000066462997864,0.521363779112483
brie,0.8333333333333334,0.8333333333333334
wüs,0.962962924255487,0.9629629242554972
zac,0.34986359989338367,0.34986359989338367
gren,0.9090885069692842,0.9090885076528775
drückt,0.7467108846591821,0.7467679797352711
grimm,0.7999997994764003,0.8999952517538775
brand',0.6653664840161545,0.6653664840161545
fliehn,0.852853920905551,0.9743062755835868
bunt,0.8747121113161266,0.8747122795357007
schwung',0.8987871196454554,0.8987871196459076
gnos,0.6666666666640959,0.6666666666640959
sand,0.97136378771365,0.9714181460014639
zeus,0.8385627587026004,0.9953362705874707
dick,0.37426428440473025,0.8732412037167435
kämpf',0.833328299385825,0.8333282993859825
luft,0.8749788143030349,0.8749788213402103
bang,0.6602702402017073,0.6602702402017073
la,0.7830638879260738,0.8238107350038927
lei,0.5879238235468087,0.8388859700549515
