line_number,book_number,original_text
268,1,"Ob er zur Heimat kehrt, und einst in diesem Palaste"
269,1,"Rache vergilt, oder nicht. Dir aber gebiet' ich, zu trachten,"
270,1,Daß du der Freier Schar aus deinem Hause vertreibest.
271,1,"Lieber, wohlan! merk' auf, und nimm die Rede zu Herzen."
272,1,"Fodere morgen zu Rat die Edelsten aller Achaier,"
273,1,"Rede vor der Versammlung, und rufe die Götter zu Zeugen."
274,1,"Allen Freiern gebeut, zu dem Ihrigen sich zu zerstreuen;"
275,1,"Und der Mutter: verlangt ihr Herz die zwote Vermählung,"
276,1,Kehre sie heim in das Haus des wohlbegüterten Vaters.
277,1,"Dort bereite man ihr die Hochzeit, und statte sie reichlich"
278,1,"Ihrem Bräutigam aus, wie lieben Töchtern gebühret."
279,1,"Für dich selbst ist dieses mein Rat, wofern du gehorchest."
280,1,"Rüste das trefflichste Schiff mit zwanzig Gefährten, und eile,"
281,1,Kundschaft dir zu erforschen vom langabwesenden Vater;
282,1,"Ob dir's einer verkünde der Sterblichen, oder du Ossa,"
283,1,"Zeus' Gesandte, vernehmest, die viele Gerüchte verbreitet."
284,1,"Erstlich fahre gen Pylos, und frage den göttlichen Nestor,"
285,1,"Dann gen Sparta, zur Burg Menelaos' des Bräunlichgelockten,"
286,1,Welcher zuletzt heim kam von dein erzgepanzerten Griechen.
287,1,"Hörst du, er lebe noch, dein Vater, und kehre zur Heimat;"
288,1,"Dann, wie bedrängt du auch seist, erduld' es noch ein Jahr lang."
289,1,"Hörst du, er sei gestorben, und nicht mehr unter den Menschen;"
290,1,"Siehe dann kehre wieder zur lieben heimischen Insel,"
291,1,"Häufe dem Vater ein Mal, und opfere Totengeschenke"
292,1,"Reichlich, wie sich's gebührt, und gib einem Manne die Mutter."
293,1,"Aber hast du dieses getan und alles vollendet,"
294,1,"Siehe dann denk' umher, und überlege mit Klugheit,"
295,1,Wie du die üppige Schar der Freier in deinem Palaste
296,1,"Tötest, mit heimlicher List, oder öffentlich! Fürder geziemen"
297,1,"Kinderwerke dir nicht, du bist dem Getändel entwachsen."
298,1,"Hast du nimmer gehört, welch ein Ruhm den edlen Orestes"
299,1,"Unter den Sterblichen preist, seitdem er den Meuchler Ägisthos"
300,1,"Umgebracht, der ihm den herrlichen Vater ermordet?"
301,1,"Auch du, Lieber, denn groß und stattlich bist du von Ansehn,"
302,1,"Halte dich wohl, daß einst die spätesten Enkel dich loben!"
303,1,"Ich will jetzo wieder zum schnellen Schiffe hinabgehn,"
304,1,"Und den Gefährten, die mich, vielleicht unwillig, erwarten."
305,1,"Sorge nun selber für dich, und nimm die Rede zu Herzen."
306,1,Und der verständige Jüngling Telemachos sagte dagegen:
307,1,"Freund, du redest gewiß mit voller herzlicher Liebe,"
