line_number,book_number,original_text
263,1,"So wie Peirithoos war, und der völkerweidende Dryas,"
264,1,"Käneus auch, und der Held Exadios, auch Polyphemos,"
265,1,"Oder wie Ägeus Sohn, der götterähnliche Theseus."
266,1,"Traun, das waren die stärksten der lebenden Erdebewohner,"
267,1,"Waren selbst die stärksten und kämpften nur wider die stärksten,"
268,1,"Wider die Bergkentauren, und übeten grause Vertilgung."
269,1,"Seht, und jenen war ich ein Kriegsgenoß, der aus Pylos"
270,1,"Herkam, fern ans dem Apierland; denn sie riefen mich selber;"
271,1,Und ich kämpfte das meinige mit. Doch jene vermochte
272,1,"Keiner, so viel nun leben des Menschengeschlechts, zu bekämpfen."
273,1,"Dennoch hörten sie Rat von mir, und gehorchten dem Worte."
274,1,Aber gehorcht auch ihr; denn Rat zu hören ist besser.
275,1,"Weder du, wie mächtig du seist, nimm jenem das Mägdlein;"
276,1,"Sondern laß, was ihm einmal zum Dank verliehn die Achaier:"
277,1,"Noch auch du, o Peleid', erhebe dich wider den König"
278,1,So voll Trotz; denn es ward nie gleicher Ehre ja teilhaft
279,1,"Ein bescepterter König, den Zeus mit Ruhme verherrlicht."
280,1,"Wenn du ein Stärkerer bist, und Sohn der göttlichen Mutter:"
281,1,"Ist er mächtiger doch, weil mehrerem Volk er gebietet."
282,1,"Atreus Sohn, laß fahren den Zorn; und ich selbst will Achilleus"
283,1,"Anflehn, auch sein Herz zu besänftigen, ihn, der die große"
284,1,Schutzwehr ist dem achaiischen Volk im verderbenden Kriege.
285,1,Gegen ihn rief antwortend der Völkerfürst Agamemnon:
286,1,"Wahrlich, o Greis, du hast wohlziemende Worte geredet."
287,1,Aber der Mann will immer den anderen allen zuvor sein;
288,1,"Allen will er gebieten im Heer, und alle beherrschen,"
289,1,"Allen Gesetz' austeilen, die niemand, mein' ich, erkennet!"
290,1,"Wenn sie ja Lanzenkund' ihm verliehn, die ewigen Götter;"
291,1,"Stellen sie darum ihm frei, auch Schmähungen auszurufen?"
292,1,"Ihm in die Red' einfallend, begann der edle Achilleus:"
293,1,"Ja fürwahr, ein Feiger und Nichtiger müßt' ich genannt sein,"
294,1,"Wenn ich in allem mich dir demütigte, was du nur aussprichst!"
295,1,Andern gebeut' du solches nach Willkür; aber nur mir nicht
296,1,Winke Befehl; ich möchte hinfort dir wenig gehorchen!
297,1,"Eines verkünd' ich dir noch, und du bewahr' es im Herzen."
298,1,"Niemals heb' ich die Arme zum Streit auf wegen des Mägdleins,"
299,1,"Weder mit dir, noch andern; ihr gabt, und nehmet sie wieder."
300,1,"Aber so viel mir sonst bei dem dunkelen Schiffe sich findet,"
301,1,"Davon nimmst du mir schwerlich das mindeste, wider mein Wollen."
302,1,"Oder wohlan, versuch' es! damit sie alle mit ansehn,"
303,1,Wie alsbald an der Lanze dein schwarzes Blut mir herabträuft!
304,1,"Also haderten beide mit widerstrebenden Worten,"
305,1,"Standen dann auf, und trennten den Rat bei den Schiffen Achaias."
306,1,"Peleus Sohn, zu den Zelten gewandt und schwebenden Schiffen,"
307,1,"Wandelte, samt Menötios' Sohn und seinen Genossen."
308,1,Doch der Atreid' entließ ein hurtiges Schiff in die Meerflut;
309,1,Wählete zwanzig hinein der Ruderer; bracht' auch Apollons
310,1,Hekatomb'; und darauf des Chryses rosige Tochter
311,1,Führt' er hinein; und Gebieter des Schiffs war der weise Odysseus.
312,1,"Alle nun eingestiegen, durchsteuerten flüssige Pfade."
313,1,Drauf hieß Atreus Sohn sich entsündigen alle Achaier:
314,1,"Und sie entsündigten sich, und warfen ins Meer die Befleckung,"
315,1,Opferten dann für Apollon vollkommene Sühnhekatomben
316,1,Mutiger Stier' und Ziegen am Strand des verödeten Meeres;
317,1,Und hoch wallte der Duft in wirbelndem Rauche gen Himmel.
318,1,So war alles im Heere beschäftiget. Doch Agamemnon
319,1,"Ließ nicht ruhn, was er zankend zuvor gedroht dem Achilleus;"
320,1,"Sondern Talthybios schnell und Eurybates rief er ermahnend,"
321,1,Die Herold' ihm waren und rasch aufwartende Diener:
322,1,Gehet hin zum Gezelte des Peleiaden Achilleus;
323,1,Nehmt an der Hand und bringt des Brises rosige Tochter.
324,1,"Wenn er sie nicht hergäbe, so möcht' ich selber sie nehmen,"
325,1,Hin mit mehreren kommend; was ihm noch schrecklicher sein wird!
326,1,"Jener sprach's und entließ sie, die drohenden Worte befehlend."
327,1,"Ungern gingen sie beid' am Strand des verödeten Meeres,"
328,1,Bis sie die Zelt' und Schiffe der Myrmidonen erreichten.
